"행정동_코드_명","유동인구_30대비율","상주인구_30대비율","유동인구_순위","상주인구_순위","전체_행정동_수","구분_강조"
역삼1동,27.63,28.64,1,10,397,기타
여의동,27.37,19.29,2,86,397,기타
양평2동,26.65,26.43,3,14,397,기타
논현1동,26.20,25.44,4,17,397,기타
가산동,26.17,29.37,5,9,397,기타
구로3동,26.09,33.75,6,3,397,기타
논현2동,25.87,24.25,7,25,397,기타
서초2동,24.98,25.13,8,19,397,기타
문정2동,24.90,36.82,9,1,397,기타
상암동,24.84,22.27,10,43,397,기타
원효로1동,24.78,25.27,11,18,397,기타
압구정동,24.72,17.25,12,134,397,기타
소공동,24.65,15.03,13,216,397,기타
반포1동,24.50,27.05,14,11,397,기타
합정동,24.41,22.03,16,49,397,기타
삼성2동,24.41,21.99,15,50,397,기타
이태원1동,24.39,19.55,17,80,397,기타
한남동,24.37,18.90,18,93,397,기타
신림동,24.13,29.58,19,7,397,기타
한강로동,24.03,23.65,20,31,397,기타
성수1가2동,23.97,19.35,21,82,397,기타
영등포동,23.76,30.84,22,5,397,기타
등촌1동,23.57,23.82,23,29,397,기타
이태원2동,23.55,18.62,24,100,397,기타
명동,23.44,15.03,25,215,397,기타
당산2동,23.43,32.74,26,4,397,기타
가양3동,23.40,15.38,27,200,397,기타
방이2동,23.36,24.29,28,22,397,기타
양평1동,23.28,29.75,29,6,397,기타
잠원동,23.23,22.50,30,41,397,기타
성수2가3동,23.12,21.76,31,56,397,기타
조원동,22.94,22.20,32,45,397,기타
당산1동,22.72,24.99,33,20,397,기타
독산1동,22.61,26.52,34,13,397,기타
망원1동,22.22,18.93,35,92,397,기타
회현동,22.17,8.94,36,391,397,기타
역삼2동,22.14,18.85,37,97,397,기타
염창동,22.07,29.45,38,8,397,기타
양재1동,22.02,20.02,39,74,397,기타
양재2동,22.01,19.60,40,79,397,기타
송파1동,21.99,23.01,41,35,397,기타
연남동,21.98,21.95,43,52,397,기타
광희동,21.98,21.40,42,59,397,기타
청담동,21.94,17.28,44,131,397,기타
중림동,21.66,16.35,45,163,397,기타
도화동,21.63,21.16,46,64,397,기타
능동,21.60,22.91,47,37,397,기타
서교동,21.59,21.36,48,61,397,기타
석촌동,21.55,21.76,49,55,397,기타
북아현동,21.50,13.61,50,275,397,기타
서원동,21.41,25.75,51,15,397,기타
가양1동,21.36,36.04,52,2,397,기타
충현동,21.23,22.44,53,42,397,기타
도곡1동,21.13,22.80,55,40,397,기타
삼전동,21.13,20.86,56,67,397,기타
삼성1동,21.13,14.33,54,251,397,기타
목3동,21.05,23.92,57,28,397,기타
문정1동,20.94,20.31,59,72,397,기타
신사동,20.94,18.87,58,96,397,기타
행운동,20.90,24.13,60,26,397,기타
잠실6동,20.84,14.88,61,221,397,기타
